path,pred_age
src/data/UTKface_inthewild/part3/100_1_0_20170119212053665.jpg,46.28
src/data/UTKface_inthewild/part3/10_0_0_20170116201102149.jpg,50.26
src/data/UTKface_inthewild/part3/10_0_0_20170120220628194.jpg,37.58
src/data/UTKface_inthewild/part3/10_0_1_20170116225209209.jpg,36.98
src/data/UTKface_inthewild/part3/10_1_1_20170116225209209.jpg,44.81
src/data/UTKface_inthewild/part3/10_1_3_20170119150820222.jpg,47.77
src/data/UTKface_inthewild/part3/110_1_0_20170120134701015.jpg,41.76
src/data/UTKface_inthewild/part3/111_1_0_20170120134646399.jpg,40.41
src/data/UTKface_inthewild/part3/115_1_0_20170120134725990.jpg,51.95
src/data/UTKface_inthewild/part3/115_1_0_20170120134725991.jpg,41.67
src/data/UTKface_inthewild/part3/116_1_0_20170120134921760.jpg,46.45
src/data/UTKface_inthewild/part3/116_1_3_20170120134744096.jpg,45.55
src/data/UTKface_inthewild/part3/11_1_0_20170117133441179.jpg,28.7
src/data/UTKface_inthewild/part3/13_0_3_20170119153840721.jpg,33.14
src/data/UTKface_inthewild/part3/13_1_0_20170120133325603.jpg,37.19
src/data/UTKface_inthewild/part3/14_0_0_20170116204045849.jpg,34.48
src/data/UTKface_inthewild/part3/14_0_0_20170116211955846.jpg,44.56
src/data/UTKface_inthewild/part3/14_0_0_20170120133332421.jpg,46.42
src/data/UTKface_inthewild/part3/14_0_1_20170116205011065.jpg,37.45
src/data/UTKface_inthewild/part3/14_1_0_20170119150832998.jpg,28.84
src/data/UTKface_inthewild/part3/15_0_0_20170116201123807.jpg,36.25
src/data/UTKface_inthewild/part3/15_0_0_20170120133307597.jpg,49.01
src/data/UTKface_inthewild/part3/15_0_1_20170120134502877.jpg,32.41
src/data/UTKface_inthewild/part3/15_0_2_20170114024948220.jpg,33.8
src/data/UTKface_inthewild/part3/15_1_0_20170116232438243.jpg,30.08
src/data/UTKface_inthewild/part3/15_1_1_20170116000638538.jpg,30.44
src/data/UTKface_inthewild/part3/15_1_1_20170116164052068.jpg,24.89
src/data/UTKface_inthewild/part3/15_1_3_20170119164417238.jpg,38.24
src/data/UTKface_inthewild/part3/16_0_0_20170120133327900.jpg,29.42
src/data/UTKface_inthewild/part3/16_0_1_20170116161243731.jpg,30.25
src/data/UTKface_inthewild/part3/16_0_1_20170116214205175.jpg,40.21
src/data/UTKface_inthewild/part3/16_0_1_20170120134502877.jpg,32.86
src/data/UTKface_inthewild/part3/16_1_0_20170116204045849.jpg,29.61
src/data/UTKface_inthewild/part3/16_1_0_20170116214318225.jpg,40.71
